timestamp,scenario,origin_pods,cache_pods,origin_cpu_mcores,cache_cpu_mcores,origin_mem_MiB,cache_mem_MiB,throughput_rps,cache_hit_ratio,current_replicas
2025-12-28T22:11:59.530259,S3,1,1,0.0,16.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:12:09.884679,S3,1,1,0.0,16.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:12:20.210713,S3,1,1,0.0,16.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:12:30.548787,S3,1,1,0.0,16.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:12:40.894690,S3,1,1,0.0,16.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:12:51.231710,S3,1,1,0.0,16.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:13:01.577801,S3,1,1,0.0,17.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:13:11.909716,S3,1,1,0.0,17.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:13:22.243773,S3,1,1,0.0,17.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:13:32.590161,S3,1,1,0.0,17.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:13:42.938940,S3,1,1,0.0,17.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:13:53.290110,S3,1,1,0.0,17.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:14:03.630147,S3,1,1,0.0,19.0,4.0,9.0,0.0,0.0,2
2025-12-28T22:14:13.961748,S3,1,1,0.0,19.0,4.0,9.0,0.0,0.0,2
2025-12-28T22:14:24.304719,S3,1,1,0.0,19.0,4.0,9.0,0.0,0.0,2
2025-12-28T22:14:34.640277,S3,1,1,0.0,19.0,4.0,9.0,0.0,0.0,2
2025-12-28T22:14:44.987941,S3,1,1,0.0,19.0,4.0,9.0,0.0,0.0,2
2025-12-28T22:14:55.330502,S3,1,1,0.0,19.0,4.0,9.0,0.0,0.0,2
2025-12-28T22:15:05.665759,S3,1,1,0.0,20.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:15:16.014815,S3,1,1,0.0,20.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:15:26.339986,S3,1,1,0.0,20.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:15:36.672779,S3,1,1,0.0,20.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:15:47.012819,S3,1,1,0.0,20.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:15:57.347583,S3,1,1,0.0,20.0,4.0,8.0,0.0,0.0,2
